business_unit,line_item,month,budget,actual
Customer Support,COGS,2025-04,121000.0,120620.79
Customer Support,COGS,2025-05,121968.0,127792.84
Customer Support,COGS,2025-06,122943.74,116884.3
Customer Support,COGS,2025-07,123927.29,127050.55
Customer Support,COGS,2025-08,124918.71,121606.76
Customer Support,COGS,2025-09,125918.06,120926.21
Customer Support,COGS,2025-10,126925.41,126246.16
Customer Support,COGS,2025-11,127940.81,121318.32
Customer Support,COGS,2025-12,128964.34,125394.29
Customer Support,COGS,2026-01,129996.05,122210.08
Customer Support,COGS,2026-02,131036.02,143908.51
Customer Support,COGS,2026-03,132084.31,132317.2
Customer Support,COGS,2026-04,133140.98,128482.87
Customer Support,COGS,2026-05,134206.11,135641.98
Customer Support,COGS,2026-06,135279.76,134519.97
Customer Support,COGS,2026-07,136362.0,134855.4
Customer Support,COGS,2026-08,137452.89,141673.84
Customer Support,COGS,2026-09,138552.52,143800.25
Customer Support,Headcount Cost,2025-04,49500.0,48188.0
Customer Support,Headcount Cost,2025-05,49797.0,50933.56
Customer Support,Headcount Cost,2025-06,50095.78,48566.34
Customer Support,Headcount Cost,2025-07,50396.36,46757.98
Customer Support,Headcount Cost,2025-08,50698.73,47398.16
Customer Support,Headcount Cost,2025-09,51002.93,51101.03
Customer Support,Headcount Cost,2025-10,51308.94,51841.99
Customer Support,Headcount Cost,2025-11,51616.8,49749.68
Customer Support,Headcount Cost,2025-12,51926.5,53252.89
Customer Support,Headcount Cost,2026-01,52238.06,48766.27
Customer Support,Headcount Cost,2026-02,52551.49,52412.58
Customer Support,Headcount Cost,2026-03,52866.8,50305.89
Customer Support,Headcount Cost,2026-04,53184.0,51797.31
Customer Support,Headcount Cost,2026-05,53503.1,53604.54
Customer Support,Headcount Cost,2026-06,53824.12,51971.68
Customer Support,Headcount Cost,2026-07,54147.06,53314.16
Customer Support,Headcount Cost,2026-08,54471.95,56664.54
Customer Support,Headcount Cost,2026-09,54798.78,53534.26
Customer Support,Opex: Marketing,2025-04,33000.0,31034.02
Customer Support,Opex: Marketing,2025-05,33165.0,30963.75
Customer Support,Opex: Marketing,2025-06,33330.82,32622.29
Customer Support,Opex: Marketing,2025-07,33497.48,22601.15
Customer Support,Opex: Marketing,2025-08,33664.97,26686.94
Customer Support,Opex: Marketing,2025-09,33833.29,41446.84
Customer Support,Opex: Marketing,2025-10,34002.46,43072.45
Customer Support,Opex: Marketing,2025-11,34172.47,33579.39
Customer Support,Opex: Marketing,2025-12,34343.33,38000.33
Customer Support,Opex: Marketing,2026-01,34515.05,36816.77
Customer Support,Opex: Marketing,2026-02,34687.62,51401.24
Customer Support,Opex: Marketing,2026-03,34861.06,41412.72
Customer Support,Opex: Marketing,2026-04,35035.37,35063.83
Customer Support,Opex: Marketing,2026-05,35210.54,30867.99
Customer Support,Opex: Marketing,2026-06,35386.6,27567.33
Customer Support,Opex: Marketing,2026-07,35563.53,37360.18
Customer Support,Opex: Marketing,2026-08,35741.35,32401.23
Customer Support,Opex: Marketing,2026-09,35920.05,28975.34
Customer Support,Opex: Other,2025-04,13750.0,12992.87
Customer Support,Opex: Other,2025-05,13791.25,13257.36
Customer Support,Opex: Other,2025-06,13832.62,13151.51
Customer Support,Opex: Other,2025-07,13874.12,12814.15
Customer Support,Opex: Other,2025-08,13915.74,14122.42
Customer Support,Opex: Other,2025-09,13957.49,12937.27
Customer Support,Opex: Other,2025-10,13999.36,14517.98
Customer Support,Opex: Other,2025-11,14041.36,14111.23
Customer Support,Opex: Other,2025-12,14083.49,13887.8
Customer Support,Opex: Other,2026-01,14125.74,12984.99
Customer Support,Opex: Other,2026-02,14168.11,13492.62
Customer Support,Opex: Other,2026-03,14210.62,15426.18
Customer Support,Opex: Other,2026-04,14253.25,15109.75
Customer Support,Opex: Other,2026-05,14296.01,13041.46
Customer Support,Opex: Other,2026-06,14338.9,14624.72
Customer Support,Opex: Other,2026-07,14381.91,15606.37
Customer Support,Opex: Other,2026-08,14425.06,12161.18
Customer Support,Opex: Other,2026-09,14468.34,15399.17
Customer Support,Opex: Salaries,2025-04,82500.0,80074.73
Customer Support,Opex: Salaries,2025-05,82830.0,79314.16
Customer Support,Opex: Salaries,2025-06,83161.32,86538.85
Customer Support,Opex: Salaries,2025-07,83493.97,84867.37
Customer Support,Opex: Salaries,2025-08,83827.94,82969.61
Customer Support,Opex: Salaries,2025-09,84163.25,87058.33
Customer Support,Opex: Salaries,2025-10,84499.91,83851.04
Customer Support,Opex: Salaries,2025-11,84837.91,81797.44
Customer Support,Opex: Salaries,2025-12,85177.26,88217.55
Customer Support,Opex: Salaries,2026-01,85517.97,106897.46
Customer Support,Opex: Salaries,2026-02,85860.04,82329.7
Customer Support,Opex: Salaries,2026-03,86203.48,84849.21
Customer Support,Opex: Salaries,2026-04,86548.29,83409.31
Customer Support,Opex: Salaries,2026-05,86894.49,82420.81
Customer Support,Opex: Salaries,2026-06,87242.06,88793.69
Customer Support,Opex: Salaries,2026-07,87591.03,91732.55
Customer Support,Opex: Salaries,2026-08,87941.4,83372.22
Customer Support,Opex: Salaries,2026-09,88293.16,88901.42
Customer Support,Revenue,2025-04,275000.0,270554.79
Customer Support,Revenue,2025-05,277750.0,289707.84
Customer Support,Revenue,2025-06,280527.5,305814.65
Customer Support,Revenue,2025-07,283332.78,284592.38
Customer Support,Revenue,2025-08,286166.1,314129.38
Customer Support,Revenue,2025-09,289027.76,265094.51
Customer Support,Revenue,2025-10,291918.04,262083.16
Customer Support,Revenue,2025-11,294837.22,293854.57
Customer Support,Revenue,2025-12,297785.59,304647.74
Customer Support,Revenue,2026-01,300763.45,300173.45
Customer Support,Revenue,2026-02,303771.08,266089.34
Customer Support,Revenue,2026-03,306808.8,305168.23
Customer Support,Revenue,2026-04,309876.88,285623.39
Customer Support,Revenue,2026-05,312975.65,325551.12
Customer Support,Revenue,2026-06,316105.41,323058.43
Customer Support,Revenue,2026-07,319266.46,301262.14
Customer Support,Revenue,2026-08,322459.13,312517.06
Customer Support,Revenue,2026-09,325683.72,304985.6
Digital Products,COGS,2025-04,187000.0,177738.49
Digital Products,COGS,2025-05,188496.0,183158.76
Digital Products,COGS,2025-06,190003.97,190950.68
Digital Products,COGS,2025-07,191524.0,186702.62
Digital Products,COGS,2025-08,193056.19,178087.93
Digital Products,COGS,2025-09,194600.64,195267.76
Digital Products,COGS,2025-10,196157.45,185738.51
Digital Products,COGS,2025-11,197726.71,202408.8
Digital Products,COGS,2025-12,199308.52,190146.07
Digital Products,COGS,2026-01,200902.99,216472.31
Digital Products,COGS,2026-02,202510.21,194579.37
Digital Products,COGS,2026-03,204130.29,200843.17
Digital Products,COGS,2026-04,205763.34,214132.94
Digital Products,COGS,2026-05,207409.44,194644.8
Digital Products,COGS,2026-06,209068.72,211446.46
Digital Products,COGS,2026-07,210741.27,224514.71
Digital Products,COGS,2026-08,212427.2,195353.54
Digital Products,COGS,2026-09,214126.62,216103.37
Digital Products,Headcount Cost,2025-04,76500.0,76678.12
Digital Products,Headcount Cost,2025-05,76959.0,73440.53
Digital Products,Headcount Cost,2025-06,77420.75,78528.76
Digital Products,Headcount Cost,2025-07,77885.28,79632.35
Digital Products,Headcount Cost,2025-08,78352.59,81746.99
Digital Products,Headcount Cost,2025-09,78822.71,82145.25
Digital Products,Headcount Cost,2025-10,79295.64,74925.91
Digital Products,Headcount Cost,2025-11,79771.42,76778.95
Digital Products,Headcount Cost,2025-12,80250.04,81903.31
Digital Products,Headcount Cost,2026-01,80731.54,82390.69
Digital Products,Headcount Cost,2026-02,81215.93,82889.14
Digital Products,Headcount Cost,2026-03,81703.23,94294.45
Digital Products,Headcount Cost,2026-04,82193.45,84070.39
Digital Products,Headcount Cost,2026-05,82686.61,86442.45
Digital Products,Headcount Cost,2026-06,83182.73,86356.99
Digital Products,Headcount Cost,2026-07,83681.83,85862.21
Digital Products,Headcount Cost,2026-08,84183.92,83122.29
Digital Products,Headcount Cost,2026-09,84689.02,87260.07
Digital Products,Opex: Marketing,2025-04,51000.0,54008.1
Digital Products,Opex: Marketing,2025-05,51255.0,58290.95
Digital Products,Opex: Marketing,2025-06,51511.27,42983.96
Digital Products,Opex: Marketing,2025-07,51768.83,42550.43
Digital Products,Opex: Marketing,2025-08,52027.68,57141.54
