business_unit,line_item,month,budget,actual,forecast,variance_vs_budget,variance_vs_budget_pct,variance_vs_forecast,variance_vs_forecast_pct,threshold,budget_breach,forecast_breach,flagged,flag_reason
Customer Support,COGS,2025-04-01,121000.0,120620.79,,-379.2100000000064,-0.0031339669421488,,,0.084,False,False,False,
Customer Support,COGS,2025-05-01,121968.0,127792.84,,5824.8399999999965,0.0477571166207529,,,0.084,False,False,False,
Customer Support,COGS,2025-06-01,122943.74,116884.3,,-6059.440000000002,-0.0492862833032409,,,0.084,False,False,False,
Customer Support,COGS,2025-07-01,123927.29,127050.55,121765.97666666668,3123.2600000000093,0.0252023585765492,5284.573333333334,0.0433994246832989,0.084,False,False,False,
Customer Support,COGS,2025-08-01,124918.71,121606.76,123909.23,-3311.950000000012,-0.0265128418312998,-2302.470000000001,-0.0185819087084957,0.084,False,False,False,
Customer Support,COGS,2025-09-01,125918.06,120926.21,121847.20333333332,-4991.849999999991,-0.0396436380928993,-920.9933333333174,-0.0075585923036229,0.084,False,False,False,
Customer Support,COGS,2025-10-01,126925.41,126246.16,123194.50666666668,-679.25,-0.0053515682951112,3051.6533333333355,0.024771017928505,0.084,False,False,False,
Customer Support,COGS,2025-11-01,127940.81,121318.32,122926.37666666666,-6622.489999999991,-0.0517621390704028,-1608.0566666666564,-0.0130814615241376,0.084,False,False,False,
Customer Support,COGS,2025-12-01,128964.34,125394.29,122830.23,-3570.050000000003,-0.027682458577309,2564.0599999999977,0.0208748286150729,0.084,False,False,False,
Customer Support,COGS,2026-01-01,129996.05,122210.08,124319.59,-7785.970000000001,-0.0598938967760943,-2109.5100000000093,-0.0169684439918118,0.084,False,False,False,
Customer Support,COGS,2026-02-01,131036.02,143908.51,122974.23,12872.490000000003,0.0982362712176392,20934.280000000013,0.1702330642769628,0.084,True,True,True,10% over budget; 17% above trend forecast
Customer Support,COGS,2026-03-01,132084.31,132317.2,130504.29333333332,232.890000000014,0.0017631920097096,1812.9066666666768,0.0138915480890437,0.084,False,False,False,
Customer Support,COGS,2026-04-01,133140.98,128482.87,132811.93,-4658.110000000015,-0.0349862979827849,-4329.059999999998,-0.0325954151859701,0.084,False,False,False,
Customer Support,COGS,2026-05-01,134206.11,135641.98,134902.86000000002,1435.8700000000244,0.0106989912754346,739.1199999999953,0.0054789053397384,0.084,False,False,False,
Customer Support,COGS,2026-06-01,135279.76,134519.97,132147.35,-759.7900000000081,-0.0056164351563013,2372.619999999996,0.0179543517142038,0.084,False,False,False,
Customer Support,COGS,2026-07-01,136362.0,134855.4,132881.60666666666,-1506.6000000000058,-0.011048532582391,1973.7933333333349,0.0148537738430917,0.084,False,False,False,
Customer Support,COGS,2026-08-01,137452.89,141673.84,135005.78333333333,4220.949999999983,0.0307083394172358,6668.056666666671,0.049390896464065,0.084,False,False,False,
Customer Support,COGS,2026-09-01,138552.52,143800.25,137016.40333333335,5247.7300000000105,0.0378753847277553,6783.84666666665,0.0495112008608408,0.084,False,False,False,
Customer Support,Headcount Cost,2025-04-01,49500.0,48188.0,,-1312.0,-0.0265050505050505,,,0.075,False,False,False,
Customer Support,Headcount Cost,2025-05-01,49797.0,50933.56,,1136.5599999999977,0.0228238648914592,,,0.075,False,False,False,
Customer Support,Headcount Cost,2025-06-01,50095.78,48566.34,,-1529.4400000000023,-0.0305303161264282,,,0.075,False,False,False,
Customer Support,Headcount Cost,2025-07-01,50396.36,46757.98,49229.3,-3638.379999999997,-0.0721952934696076,-2471.3199999999924,-0.0502001856617906,0.075,False,False,False,
Customer Support,Headcount Cost,2025-08-01,50698.73,47398.16,48752.62666666667,-3300.57,-0.0651016307509083,-1354.4666666666672,-0.0277824346968518,0.075,False,False,False,
Customer Support,Headcount Cost,2025-09-01,51002.93,51101.03,47574.16,98.09999999999854,0.0019234189094626,3526.869999999996,0.0741341518168685,0.075,False,False,False,
Customer Support,Headcount Cost,2025-10-01,51308.94,51841.99,48419.05666666667,533.0499999999956,0.0103890277210949,3422.933333333327,0.0706939285682075,0.075,False,False,False,
Customer Support,Headcount Cost,2025-11-01,51616.8,49749.68,50113.72666666666,-1867.1200000000024,-0.0361727189597185,-364.0466666666616,-0.0072644101902085,0.075,False,False,False,
Customer Support,Headcount Cost,2025-12-01,51926.5,53252.89,50897.56666666666,1326.3899999999994,0.0255436049030841,2355.323333333341,0.0462757551605284,0.075,False,False,False,
Customer Support,Headcount Cost,2026-01-01,52238.06,48766.27,51614.85333333333,-3471.790000000001,-0.066460929062067,-2848.583333333336,-0.0551892168507567,0.075,False,False,False,
Customer Support,Headcount Cost,2026-02-01,52551.49,52412.58,50589.613333333335,-138.90999999999622,-0.0026433123018966,1822.9666666666672,0.0360344060085061,0.075,False,False,False,
