business_unit,line_item,month,budget,actual,forecast,variance_vs_budget,variance_vs_budget_pct,variance_vs_forecast,variance_vs_forecast_pct
Customer Support,COGS,2025-04-01,121000.0,120620.79,,-379.2100000000064,-0.003133966942148813,,
Customer Support,COGS,2025-05-01,121968.0,127792.84,,5824.8399999999965,0.04775711662075296,,
Customer Support,COGS,2025-06-01,122943.74,116884.3,,-6059.440000000002,-0.049286283303240995,,
Customer Support,COGS,2025-07-01,123927.29,127050.55,121765.97666666667,3123.2600000000093,0.025202358576549278,5284.573333333334,0.043399424683298916
Customer Support,COGS,2025-08-01,124918.71,121606.76,123909.23,-3311.9500000000116,-0.026512841831299823,-2302.470000000001,-0.018581908708495735
Customer Support,COGS,2025-09-01,125918.06,120926.21,121847.20333333332,-4991.849999999991,-0.03964363809289939,-920.9933333333174,-0.007558592303622979
Customer Support,COGS,2025-10-01,126925.41,126246.16,123194.50666666667,-679.25,-0.005351568295111278,3051.6533333333355,0.024771017928505053
Customer Support,COGS,2025-11-01,127940.81,121318.32,122926.37666666666,-6622.489999999991,-0.05176213907040288,-1608.0566666666564,-0.013081461524137684
Customer Support,COGS,2025-12-01,128964.34,125394.29,122830.23,-3570.050000000003,-0.02768245857730907,2564.0599999999977,0.020874828615072998
Customer Support,COGS,2026-01-01,129996.05,122210.08,124319.59000000001,-7785.970000000001,-0.05989389677609436,-2109.5100000000093,-0.016968443991811823
Customer Support,COGS,2026-02-01,131036.02,143908.51,122974.23,12872.490000000005,0.09823627121763928,20934.280000000013,0.17023306427696286
Customer Support,COGS,2026-03-01,132084.31,132317.2,130504.29333333333,232.89000000001397,0.0017631920097096617,1812.9066666666768,0.013891548089043788
Customer Support,COGS,2026-04-01,133140.98,128482.87,132811.93,-4658.110000000015,-0.03498629798278498,-4329.059999999998,-0.0325954151859701
Customer Support,COGS,2026-05-01,134206.11,135641.98,134902.86000000002,1435.8700000000244,0.010698991275434663,739.1199999999953,0.0054789053397384995
Customer Support,COGS,2026-06-01,135279.76,134519.97,132147.35,-759.7900000000081,-0.005616435156301343,2372.6199999999953,0.017954351714203842
Customer Support,COGS,2026-07-01,136362.0,134855.4,132881.60666666666,-1506.6000000000058,-0.011048532582391031,1973.7933333333349,0.014853773843091715
Customer Support,COGS,2026-08-01,137452.89,141673.84,135005.78333333333,4220.9499999999825,0.03070833941723584,6668.056666666671,0.049390896464065095
Customer Support,COGS,2026-09-01,138552.52,143800.25,137016.40333333335,5247.7300000000105,0.0378753847277553,6783.84666666665,0.04951120086084084
Customer Support,Headcount Cost,2025-04-01,49500.0,48188.0,,-1312.0,-0.026505050505050504,,
Customer Support,Headcount Cost,2025-05-01,49797.0,50933.56,,1136.5599999999977,0.022823864891459277,,
Customer Support,Headcount Cost,2025-06-01,50095.78,48566.34,,-1529.4400000000023,-0.030530316126428262,,
Customer Support,Headcount Cost,2025-07-01,50396.36,46757.98,49229.299999999996,-3638.3799999999974,-0.07219529346960767,-2471.3199999999924,-0.05020018566179069
Customer Support,Headcount Cost,2025-08-01,50698.73,47398.16,48752.62666666667,-3300.5699999999997,-0.06510163075090834,-1354.4666666666672,-0.027782434696851897
Customer Support,Headcount Cost,2025-09-01,51002.93,51101.03,47574.16,98.09999999999854,0.0019234189094626238,3526.8699999999953,0.07413415181686855
